osm_type,osm_id,amenity,name,cuisine,website,check_date,created_by,changing_table,changing_table:adult,entrance:kerb:height,entrance:ramp,entrance:step_count,entrance:width,phone,wheelchair:turning_circle,addr:housenumber,addr:postcode,addr:street,diet:vegetarian,email,opening_hours,addr:city,addr:country,brand,brand:wikidata,brand:wikipedia,toilets:wheelchair,contact:email,contact:phone,contact:website,addr:unit,internet_access,level,fixme,outdoor_seating,indoor_seating,alt_name,internet_access:fee,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,wheelchair,toilets:wheelchair:door_width,toilets:wheelchair:level,takeaway,check_date:diet:vegetarian,check_date:opening_hours,toilets:wheelchair:space_side,operator,OnroerendErfgoed:criteria,fax,heritage,heritage:operator,heritage:website,old_name,ref:OnroerendErfgoed,contact:facebook,contact:instagram,contact:mobile,toilets:wheelchair:accessible_via,wikidata,diet:halal,diet:vegan,payment:cards,source,name:en,name:nl,website:menu,description,disused:amenity,wikipedia,facebook,image,mapillary,addr:housename,smoking,wikimedia_commons,ramp:wheelchair,mobile,capacity,access,comment,opening_hours:signed,restaurant:type:nl,disused:shop,note,delivery,name:fr,name:el,elevator:width,bar,brewery,microbrewery,reservation,start_date,toilets,drive_through,lgbtq:signed,reservation:phone,reservation:website,strapline,survey:date,toilets:access,toilets:wheelchair:space_front,was:cuisine,was:name,was:opening_hours,was:website,check_date:diet:vegan,diet:kosher:certification,self_service,stars,payment:mastercard,payment:visa,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,opening_hours:kitchen,phone:mobile,diet:kosher,branch,diet:healthy,diet:meat,diet:non-vegetarian,diet:organic,payment:maestro,addr:state,food,air_conditioning,changing_table:location,source:geometry:date,source:geometry:ref,shop,elevator:depth,diet:sugar_free,restaurant,url,name:ar,payment:qr_code,name:de,contact:whatsapp,ref:vatin,website:booking,contact:tiktok,opening_hours:takeaway,building,historic,castle_type,building:architecture,building:levels,roof:levels,house,tourism,height,indoor
node,1261779700,restaurant,Isola Sarda,pizza,https://www.isolasarda.be,,,,,0.14,no,3.0,0.71,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1262072635,restaurant,Elfde Gebod,,https://11gebod.com,2024-03-05,,,,,,,,,,10,2000.0,Torfbrug,,,Mo-Su 12:00-22:00,,,,,,,,,,,wlan,,,yes,yes,Kathedraalcafé,no,yes,yes,yes,yes,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1280279705,restaurant,Novo S.L.B.,portuguese,http://www.novo-slb.be,,,,,0.05,no,1.0,0.76,+32 3 770 55 25,yes,46,,Ankerrui,,,"We-Su 12:00-15:00,18:00-22:00; Mo,Tu off",,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1287853566,restaurant,Berlin,,https://www.brasserieberlin.be/,2023-04-08,,,,,,,,,,1,2000.0,Kleine Markt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1411578467,restaurant,Món,,http://www.luxantwerp.com,,,no,,0.0,,0.0,0.75,+32 3 233 30 30,no,13,2000.0,Adriaan Brouwerstraat,,info@luxantwerp.com,"Tu-Fr 12:00-14:30,18:00-22:00; Sa 18:00-22:00; Su,Mo off",,,,,,no,,,,,,,,,,,,,,,,,0.7,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1423849929,restaurant,Maritime,,http://www.maritime.be/,2024-03-05,,,,,,,,+32 3 233 07 58,,4,2000.0,Suikerrui,,,"Mo,Tu,Fr 12:00-14:00,18:00-21:30; Sa,Su 12:00-15:30,17:00-21:30; We,Th off",Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1426908505,restaurant,Huis De Colvenier,,https://www.colvenier.be/,2024-02-03,,,,,,,,+32 477 23 26 50,,8,2000.0,Sint-Antoniusstraat,,info@colvenier.be,"Tu-Sa 12:00-15:00,18:00-22:00; Su,Mo off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1436310117,restaurant,Fez,moroccan,,,,,,,,,,,,52,2000.0,Kloosterstraat,,,,,,,,,,,,http://www.fez.be,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1523281243,restaurant,De Pottekijker,steak_house;regional;french;international,https://www.depottekijker.be,2024-03-05,,,,,,,,,,5,2000.0,Kaasrui,,,Mo-Th 18:00-22:00; Fr 18:00-23:00; Sa 17:00-23:00; Su 17:00-22:00,Antwerpen,,,,,,,,,,wlan,,,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1523311076,restaurant,De Peerdestal,,https://depeerdestal.be/en/,,,no,,0.0,no,0.0,0.84,+32 3 231 95 03,no,8,,Wijngaardstraat,,,"Mo-Sa 11:30-14:00,17:00-21:30; Su 11:30-15:00,17:00-21:00",,,,,,no,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1523415912,restaurant,De Arme Duivel,,https://www.armeduivel.be,2025-05-10,,,,0.0,,0.0,0.85,,no,,,,no,,,,,,,,no,,,,,,,,yes,,,,,,,,no,,,,2025-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1523520376,restaurant,Arte,italian,https://www.ristorante-arte.be/,2024-10-15,,,,0.0,,3.0,1.4,,no,24,,Suikerrui,,,"Mo-Su 12:00-14:30,18:00-22:30",,,,,,no,,,,,,,,,,,,,,,,,,,,,2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1523525251,restaurant,Mistral,french,https://www.eethuisje-fr-mistral.be,2025-03-29,,,,,,,,,,20,2000.0,Pelgrimstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1523538200,restaurant,Ciro's,french;belgian,https://www.ciros.be/,,,,,,,,,+32 3 238 11 47,,6,2000.0,Amerikalei,,,"Tu-Fr,Su 11:00-22:00; Sa 17:00-22:00; Mo off; Jun 30- Jul 30 off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1618702878,restaurant,Bocca d'Oro,italian,,,,,,0.02,no,1.0,0.99,,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,0.6,ground_floor,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1618702959,restaurant,Pita Pizza Waterpoort,kebab,https://www.pitapizzawaterpoort.be/,2024-01-24,,,,,,,,+32 3 216 10 79,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1620771343,restaurant,L’Amitié,regional,https://www.lamitie.net,,,,,0.0,,2.0,1.09,+32 3 257 50 05,no,43,,Vlaamsekaai,,info@lamitie.net,,Antwerpen,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,M,+32 3 257 59 05,4.0,OnroerendErfgoed,https://inventaris.onroerenderfgoed.be/dibe/relict/6327,Brouwerij Brys,6327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1620771354,restaurant,L’Entrepôt du Congo,,,,,,,0.17,no,1.0,1.14,,yes,42,,Vlaamsekaai,,,"Su-We 10:00-22:30, Th 10:00-23:00, Fr-Sa 10:00-24:00",Antwerpen,,,,,no,reservaties@entrepotducongo.com,,https://entrepotducongo.com/,,,,,,,,,,,,,limited,,,,,,,fushion,M,,4.0,OnroerendErfgoed,https://inventaris.onroerenderfgoed.be/dibe/relict/6327,Brouwerij Brys,6327.0,https://www.facebook.com/entrepotducongo/,https://www.instagram.com/lentrepotducongo/,+32 468 47 68 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1625928155,restaurant,Bizie Lizie,,https://www.bizielizie.be,,,,,0.15,no,1.0,0.91,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,0.8,ground_floor,,,,1.11,,,,,,,,,,,,ground floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1625928260,restaurant,Kommilfoo,french,https://www.restaurantkommilfoo.be,,,,,0.0,,2.0,0.87,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q89370517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1629898250,restaurant,'T soet brood,regional,,,,,,0.03,no,1.0,0.92,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1629898311,restaurant,Little Buddha,thai,,,,,,0.0,,2.0,0.9,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1635538681,restaurant,Pizza Hut,pizza,,2024-01-23,,,,,,,,,,,,,,,,,,Pizza Hut,Q191615,en:Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1644770039,restaurant,El Rancho,steak,,2024-02-02,,,,0.11,no,1.0,0.85,+32 3 296 62 37,no,,,,no,,,,,,,,no,,,,,,,"Freeform tag `cuisine` used, to be doublechecked",,,,,yes,,,,limited,,,,,,,argentnian,,,,,,,,,,,,,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1644770043,restaurant,Parillada Argentina,argentinian,,2024-07-28,,,,,,,,,,,,,,,,,,,,,,,,https://www.parrillada-argentina.be/,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1644770045,restaurant,Royal Tokyo,sushi,https://royaltokyosushibar.com,,,,,,,,,,,,,,,info@royaltokyosushibar.com,Mo 11:00-22:00; PH 11:00-23:00; We-Su 11:00-22:00,,,,,,,,,,,,,,,,,,,,,,no,,,yes,,,,grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1665920789,restaurant,Bar AMI,mexican,,,,,,0.0,,3.0,0.8,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1678534238,restaurant,Portugees van Deurne,portuguese,,,,,,,,,,+32 470 26 18 42,,29,2100.0,Cogelsplein,,,,Deurne (Antwerpen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1723223517,restaurant,El Warda,arab,https://www.elwarda.be,,,,,,,,,+32 3 293 31 13,,4,2018.0,Draakstraat,,info@elwarda.be,Mo off; Tu-Su 18:00-00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1775385031,restaurant,Bar Buenos Aires,argentinian,http://www.barbuenosaires.be,,,,,0.04,,1.0,0.7,,,3,,Koepoortbrug,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1775392355,restaurant,De reddende engel,,https://www.de-reddende-engel.be,,,,,,,,,+32 3 233 66 30,,3,,Torfbrug,,de.reddende.engel@telenet.be,,Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+32 3 233 73 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1775403977,restaurant,Persepolis,,https://www.persepolis-antwerpen.be/,,,no,,0.0,no,0.0,0.95,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1775404000,restaurant,Emily's Place,,,,,,,,,,,,,11,,Hendrik Conscienceplein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simply Marie,Emily's Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1783469363,restaurant,'t Hof van Eden,,https://www.thofvaneden.be,,,,,0.1,no,1.0,1.0,+32 3 232 50 92,yes,11,2000.0,Groenplaats,,info@thofvaneden.be,Mo-Su 09:00-22:00,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1796809355,restaurant,Pizza Hut,pizza,https://www.pizzahut.be/nl/store/delivery-deurne-noord,,,,,,,,,+32 3 326 11 00,,272,2100.0,Bisschoppenhoflaan,,,Mo-Th 11:30-22:00; Fr-Sa 11:30-23:00; Su 11:30-22:00,Deurne,,Pizza Hut,Q191615,en:Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pizzahut.be/nl/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
